"Código","Municipio","Hombres","Mujeres"," Variación 2009-2010 "
22203,"Salillas",60,50,-5
22204,"Sallent de Gállego",786,756,62
22205,"San Esteban de Litera",272,254,-1
22206,"Sangarrén",124,118,-15
22207,"San Juan de Plan",84,69,0
22208,"Santa Cilia",114,95,2
22209,"Santa Cruz de la Serós",84,52,-4
22212,"Santaliestra y San Quílez",56,50,-2
22213,"Sariñena",2.305,2.123,-27
22214,"Secastilla",65,85,9
22215,"Seira",83,73,-9
22217,"Sena",299,249,0
22218,"Senés de Alcubierre",34,34,8
22220,"Sesa",122,103,-8
22221,"Sesué",73,54,6
22222,"Siétamo",359,306,30
22223,"Sopeira",67,53,9
22225,"Tamarite de Litera",1.893,1.837,-13
22226,"Tardienta",509,498,-28
22227,"Tella-Sin",149,117,-25
22228,"Tierz",356,335,45
22229,"Tolva",96,75,-4
22230,"Torla",173,155,4
22232,"Torralba de Aragón",58,53,-2
22233,"Torre la Ribera",62,55,-1
22234,"Torrente de Cinca",662,614,-94
22235,"Torres de Alcanadre",58,48,-7
22236,"Torres de Barbués",150,153,-15
22239,"Tramaced",60,40,0
22242,"Valfarta",48,39,-3
22243,"Valle de Bardají",27,23,-2
22244,"Valle de Lierp",36,29,23
22245,"Velilla de Cinca",234,216,-15
22246,"Veracruz",61,43,5
22247,"Viacamp y Litera",32,16,-2
22248,"Vicién",68,54,-9
22249,"Villanova",72,82,4
22250,"Villanúa",267,225,15
22251,"Villanueva de Sigena",253,259,0
22252,"Yebra de Basa",88,67,-3
22253,"Yésero",43,28,-6
22254,"Zaidín",878,831,-20
22901,"Valle de Hecho",492,468,6
22902,"Puente la Reina de Jaca",118,97,-3
22903,"San Miguel del Cinca",433,415,-5
22904,"Sotonera (La)",562,499,-14
22905,"Lupiñén-Ortilla",205,192,10
22906,"Santa María de Dulcis",121,100,10
22907,"Aínsa-Sobrarbe",1.126,1.054,1
22908,"Hoz y Costean",113,92,-6
22909,"Vencillón",247,222,-10
44001,"Ababuj",49,28,-3
44002,"Abejuela",34,22,-1
44003,"Aguatón",10,11,0
44004,"Aguaviva",356,337,-20
44005,"Aguilar del Alfambra",39,28,1
44006,"Alacón",190,171,-23
44007,"Alba",124,124,-2
44008,"Albalate del Arzobispo",1.099,1.056,-40
44009,"Albarracín",552,544,-1
44010,"Albentosa",164,146,-7
44011,"Alcaine",39,30,2
44012,"Alcalá de la Selva",273,240,0
44013,"Alcañiz",8.198,8.093,-101
44014,"Alcorisa",1.872,1.770,-56
44016,"Alfambra",362,314,-47
44017,"Aliaga",209,172,-3
44018,"Almohaja",21,8,6
44019,"Alobras",41,29,0
44020,"Alpeñés",18,9,2
44021,"Allepuz",66,67,-1
44022,"Alloza",368,343,0
44023,"Allueva",10,5,0
44024,"Anadón",11,10,1
44025,"Andorra",4.326,4.041,-36
44026,"Arcos de las Salinas",57,54,-11
44027,"Arens de Lledó",98,115,-1
44028,"Argente",109,123,-9
44029,"Ariño",478,447,-25
44031,"Azaila",78,61,-15
44032,"Bádenas",13,9,-3
44033,"Báguena",218,180,-12
44034,"Bañón",91,76,-4
